C:\Users\2213226\Documents\comprasgovIFMS> python.exe .\main.py
11:02:23 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:06:23 | INFO     | ❌ FAIL | CX | PREGAO            | 2024 | 159/363 (43.8%) | Falhas: 50
11:06:34 | INFO     | ❌ FAIL | CX | OUTRASMODALIDADES | 2025 | 161/363 (44.4%) | Falhas: 51
11:06:36 | INFO     | ❌ FAIL | CX | OUTRASMODALIDADES | 2026 | 162/363 (44.6%) | Falhas: 52
11:07:00 | INFO     | ❌ FAIL | CX | PREGAO            | 2025 | 164/363 (45.2%) | Falhas: 53
11:07:05 | INFO     | ❌ FAIL | CX | PREGAO            | 2026 | 165/363 (45.5%) | Falhas: 54
11:07:06 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2016 | 179/363 (49.3%) | Falhas: 55
11:07:13 | INFO     | ❌ FAIL | DR | PREGAO            | 2021 | 180/363 (49.6%) | Falhas: 56
11:07:16 | INFO     | ❌ FAIL | DR | PREGAO            | 2016 | 182/363 (50.1%) | Falhas: 57
11:07:20 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2022 | 183/363 (50.4%) | Falhas: 58
11:07:23 | INFO     | ❌ FAIL | DR | PREGAO            | 2022 | 185/363 (51.0%) | Falhas: 59
11:07:25 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2021 | 186/363 (51.2%) | Falhas: 60
11:07:31 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2023 | 188/363 (51.8%) | Falhas: 61
11:07:37 | INFO     | ❌ FAIL | DR | PREGAO            | 2023 | 189/363 (52.1%) | Falhas: 62
11:07:44 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2024 | 191/363 (52.6%) | Falhas: 63
11:07:47 | INFO     | ❌ FAIL | DR | PREGAO            | 2024 | 192/363 (52.9%) | Falhas: 64
11:07:50 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2025 | 194/363 (53.4%) | Falhas: 65
11:07:56 | INFO     | ❌ FAIL | DR | OUTRASMODALIDADES | 2026 | 195/363 (53.7%) | Falhas: 66
11:07:58 | INFO     | ❌ FAIL | DR | PREGAO            | 2026 | 197/363 (54.3%) | Falhas: 67
11:08:05 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2016 | 198/363 (54.5%) | Falhas: 68
11:08:06 | INFO     | ❌ FAIL | JD | PREGAO            | 2016 | 200/363 (55.1%) | Falhas: 69
11:08:07 | INFO     | ❌ FAIL | DR | PREGAO            | 2025 | 201/363 (55.4%) | Falhas: 70
11:08:13 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2018 | 203/363 (55.9%) | Falhas: 71
11:08:16 | INFO     | ❌ FAIL | JD | PREGAO            | 2017 | 204/363 (56.2%) | Falhas: 72
11:08:32 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2017 | 209/363 (57.6%) | Falhas: 73
11:08:37 | INFO     | ❌ FAIL | JD | PREGAO            | 2018 | 210/363 (57.9%) | Falhas: 74
11:08:37 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2020 | 212/363 (58.4%) | Falhas: 75
11:08:39 | INFO     | ❌ FAIL | JD | PREGAO            | 2020 | 213/363 (58.7%) | Falhas: 76
11:08:45 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2021 | 215/363 (59.2%) | Falhas: 77
11:08:45 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2022 | 216/363 (59.5%) | Falhas: 78
11:08:46 | INFO     | ❌ FAIL | JD | PREGAO            | 2021 | 218/363 (60.1%) | Falhas: 79
11:08:51 | INFO     | ❌ FAIL | JD | PREGAO            | 2022 | 219/363 (60.3%) | Falhas: 80
11:08:52 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2023 | 221/363 (60.9%) | Falhas: 81
11:08:53 | INFO     | ❌ FAIL | JD | PREGAO            | 2023 | 222/363 (61.2%) | Falhas: 82
11:08:58 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2024 | 224/363 (61.7%) | Falhas: 83
11:08:59 | INFO     | ❌ FAIL | JD | PREGAO            | 2024 | 225/363 (62.0%) | Falhas: 84
11:08:59 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2025 | 227/363 (62.5%) | Falhas: 85
11:09:04 | INFO     | ❌ FAIL | JD | PREGAO            | 2025 | 228/363 (62.8%) | Falhas: 86
11:09:04 | INFO     | ⏭️  SKIPs acumulados: 150 | 236/363 (65.0%) | Falhas: 86
11:09:06 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2026 | 245/363 (67.5%) | Falhas: 87
11:09:13 | INFO     | ❌ FAIL | JD | PREGAO            | 2026 | 246/363 (67.8%) | Falhas: 88
11:09:13 | INFO     | ❌ FAIL | NA | PREGAO            | 2021 | 248/363 (68.3%) | Falhas: 89
