C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
13:29:14 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
13:32:11 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2023
13:32:16 | INFO     | ❌ FAIL | JD | PREGAO            | 2023
13:32:16 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2024
13:32:18 | INFO     | ❌ FAIL | JD | PREGAO            | 2024
13:32:23 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2025
13:32:23 | INFO     | ❌ FAIL | JD | PREGAO            | 2025
13:32:24 | INFO     | ❌ FAIL | JD | OUTRASMODALIDADES | 2026
13:32:30 | INFO     | ❌ FAIL | JD | PREGAO            | 2026
13:32:30 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2021
13:32:31 | INFO     | ❌ FAIL | NA | PREGAO            | 2021
13:32:37 | INFO     | ❌ FAIL | NA | PREGAO            | 2022
13:32:37 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2022
13:32:38 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2023
13:32:43 | INFO     | ❌ FAIL | NA | PREGAO            | 2023
13:32:44 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2024
13:32:45 | INFO     | ❌ FAIL | NA | PREGAO            | 2024
13:32:50 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2025
13:32:50 | INFO     | ❌ FAIL | NA | PREGAO            | 2025
13:32:51 | INFO     | ❌ FAIL | NA | OUTRASMODALIDADES | 2026
13:32:56 | INFO     | ❌ FAIL | NA | PREGAO            | 2026
13:32:56 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2016
13:32:57 | INFO     | ❌ FAIL | NV | PREGAO            | 2016
13:33:03 | INFO     | ❌ FAIL | NV | PREGAO            | 2017
13:33:03 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2021
13:33:04 | INFO     | ❌ FAIL | NV | PREGAO            | 2021
13:33:09 | INFO     | ❌ FAIL | NV | PREGAO            | 2022
13:33:09 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2022
13:33:10 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2023
13:33:16 | INFO     | ❌ FAIL | NV | PREGAO            | 2023
13:33:16 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2024
13:33:17 | INFO     | ❌ FAIL | NV | PREGAO            | 2024
13:33:22 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2025
13:33:22 | INFO     | ❌ FAIL | NV | PREGAO            | 2025
13:33:23 | INFO     | ❌ FAIL | NV | OUTRASMODALIDADES | 2026
13:33:29 | INFO     | ❌ FAIL | NV | PREGAO            | 2026
13:33:29 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2021
13:33:30 | INFO     | ❌ FAIL | PP | PREGAO            | 2021
13:33:35 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2022
13:33:35 | INFO     | ❌ FAIL | PP | PREGAO            | 2022
13:33:36 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2023
13:33:42 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2024
13:33:42 | INFO     | ❌ FAIL | PP | PREGAO            | 2023
13:33:43 | INFO     | ❌ FAIL | PP | PREGAO            | 2024
13:33:50 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2025
13:33:50 | INFO     | ❌ FAIL | PP | PREGAO            | 2025
13:33:50 | INFO     | ❌ FAIL | PP | OUTRASMODALIDADES | 2026
13:33:56 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2021
13:33:56 | INFO     | ❌ FAIL | PP | PREGAO            | 2026
13:33:57 | INFO     | ❌ FAIL | TL | PREGAO            | 2021
13:34:02 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2022
13:34:02 | INFO     | ❌ FAIL | TL | PREGAO            | 2022
13:34:03 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2023
13:34:09 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2024
13:34:09 | INFO     | ❌ FAIL | TL | PREGAO            | 2023
13:34:10 | INFO     | ❌ FAIL | TL | PREGAO            | 2024
13:34:15 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2025
13:34:15 | INFO     | ❌ FAIL | TL | PREGAO            | 2025
13:34:16 | INFO     | ❌ FAIL | TL | OUTRASMODALIDADES | 2026
13:34:22 | INFO     | ❌ FAIL | TL | PREGAO            | 2026
13:34:22 | INFO     | ▶ Módulo LEI 14.133 — 24 tarefas | 2 threads
13:34:22 | INFO     | ============================================================
13:34:22 | INFO     | 📊 RESUMO DA EXTRAÇÃO DE COMPRAS
13:34:22 | INFO     |   Falhas Legado   : 139
13:34:22 | INFO     |   Falhas Lei14133 : 0
13:34:22 | INFO     |   SKIPs           : 202
13:34:22 | INFO     | ============================================================
13:34:22 | INFO     | 📤 GERANDO compras.csv...
📂 4900 arquivo(s) encontrado(s). Processando...

✅ CSV gerado: data\compras.csv
   IDs únicos     : 2351
   Legado         : 1924
   Lei 14.133     : 427
   Com responsável: 2061
   Sem objeto     : 0
   Colunas        : 27
13:34:23 | INFO     | ============================================================
13:34:23 | INFO     | 🔩 INICIANDO EXTRAÇÃO DE ITENS
🔍 Mapeando compras para montar a fila de itens...

   Legado : 2412 compras → 2412 tarefas
   PNCP   : 429 compras → 427 tarefas
   TOTAL  : 2839 tarefas

🚀 INICIANDO EXTRAÇÃO DE ITENS | WORKERS: 3 | TOTAL: 2839

[13:34:23] ⏭️  SKIPs: 50 | 50/2839 (1.8%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 100 | 100/2839 (3.5%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 150 | 150/2839 (5.3%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 200 | 200/2839 (7.0%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 250 | 250/2839 (8.8%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 300 | 300/2839 (10.6%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 350 | 350/2839 (12.3%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 400 | 400/2839 (14.1%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 450 | 450/2839 (15.9%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 500 | 500/2839 (17.6%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 550 | 550/2839 (19.4%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 600 | 600/2839 (21.1%) | Falhas: 0
[13:34:23] ⏭️  SKIPs: 650 | 650/2839 (22.9%) | Falhas: 0
