C:\Users\2213226\Documents\comprasv3> python.exe .\main.py
11:45:42 | INFO     | 🚀 INICIANDO PIPELINE DE EXTRAÇÃO DE COMPRAS PÚBLICAS
11:45:42 | INFO     | ============================================================
[11:48:03] ❌ FAIL | CG | OUTRASMODALIDADES | 2025
[11:48:08] ❌ FAIL | CG | PREGAO          | 2025
[11:48:09] ✅ DONE | CG | DISPENSA        | 2026
[11:48:10] ❌ FAIL | CG | OUTRASMODALIDADES | 2026
[11:48:10] ❌ FAIL | CG | PREGAO          | 2026
[11:48:10] ✅ DONE | CB | DISPENSA        | 2016
[11:48:15] ❌ FAIL | CB | OUTRASMODALIDADES | 2016
[11:48:16] ❌ FAIL | CB | PREGAO          | 2016
[11:48:16] ❌ FAIL | CB | OUTRASMODALIDADES | 2017
[11:48:17] ✅ DONE | CB | DISPENSA        | 2017
[11:48:21] ❌ FAIL | CB | PREGAO          | 2017
[11:48:22] ✅ DONE | CB | DISPENSA        | 2018
[11:48:23] ❌ FAIL | CB | OUTRASMODALIDADES | 2018
[11:48:23] ❌ FAIL | CB | PREGAO          | 2018
[11:48:24] ✅ DONE | CB | DISPENSA        | 2019
[11:48:28] ❌ FAIL | CB | OUTRASMODALIDADES | 2019
[11:48:29] ❌ FAIL | CB | PREGAO          | 2019
[11:48:29] ✅ DONE | CB | DISPENSA        | 2020
[11:48:30] ❌ FAIL | CB | OUTRASMODALIDADES | 2020
[11:48:35] ❌ FAIL | CB | PREGAO          | 2020
[11:48:35] ✅ DONE | CB | DISPENSA        | 2021
[11:48:36] ❌ FAIL | CB | OUTRASMODALIDADES | 2021
[11:48:37] ❌ FAIL | CB | PREGAO          | 2021
[11:48:37] ✅ DONE | CB | DISPENSA        | 2022
[11:48:42] ❌ FAIL | CB | OUTRASMODALIDADES | 2022
[11:48:42] ❌ FAIL | CB | PREGAO          | 2022
[11:48:42] ✅ DONE | CB | DISPENSA        | 2023
[11:48:43] ❌ FAIL | CB | OUTRASMODALIDADES | 2023
[11:48:48] ❌ FAIL | CB | PREGAO          | 2023
[11:48:48] ✅ DONE | CB | DISPENSA        | 2024
[11:48:49] ❌ FAIL | CB | OUTRASMODALIDADES | 2024
[11:48:50] ❌ FAIL | CB | PREGAO          | 2024
[11:48:50] ✅ DONE | CB | DISPENSA        | 2025
[11:48:55] ❌ FAIL | CB | OUTRASMODALIDADES | 2025
[11:48:55] ❌ FAIL | CB | PREGAO          | 2025
[11:48:56] ✅ DONE | CB | DISPENSA        | 2026
[11:48:56] ❌ FAIL | CB | OUTRASMODALIDADES | 2026
[11:49:01] ❌ FAIL | CB | PREGAO          | 2026
[11:49:01] ✅ DONE | CX | DISPENSA        | 2016
[11:49:02] ❌ FAIL | CX | OUTRASMODALIDADES | 2016
[11:49:03] ❌ FAIL | CX | PREGAO          | 2016
[11:49:03] ✅ DONE | CX | DISPENSA        | 2017
[11:49:08] ❌ FAIL | CX | OUTRASMODALIDADES | 2017
[11:49:09] ❌ FAIL | CX | PREGAO          | 2017
[11:49:09] ✅ DONE | CX | DISPENSA        | 2018
[11:49:09] ❌ FAIL | CX | OUTRASMODALIDADES | 2018
[11:49:14] ❌ FAIL | CX | PREGAO          | 2018
[11:49:15] ✅ DONE | CX | DISPENSA        | 2019
[11:49:16] ❌ FAIL | CX | PREGAO          | 2019
[11:49:16] ❌ FAIL | CX | OUTRASMODALIDADES | 2019
[11:49:17] ✅ DONE | CX | DISPENSA        | 2020
[11:49:21] ❌ FAIL | CX | OUTRASMODALIDADES | 2020
[11:49:22] ❌ FAIL | CX | PREGAO          | 2020
[11:49:22] ✅ DONE | CX | DISPENSA        | 2021
[11:49:23] ❌ FAIL | CX | OUTRASMODALIDADES | 2021
[11:49:28] ❌ FAIL | CX | PREGAO          | 2021
[11:49:28] ✅ DONE | CX | DISPENSA        | 2022
[11:49:29] ❌ FAIL | CX | OUTRASMODALIDADES | 2022
[11:49:31] ❌ FAIL | CX | PREGAO          | 2022
[11:49:31] ✅ DONE | CX | DISPENSA        | 2023
[11:49:34] ❌ FAIL | CX | OUTRASMODALIDADES | 2023
[11:49:35] ❌ FAIL | CX | PREGAO          | 2023
[11:49:35] ✅ DONE | CX | DISPENSA        | 2024
[11:49:37] ❌ FAIL | CX | OUTRASMODALIDADES | 2024
[11:49:41] ❌ FAIL | CX | PREGAO          | 2024
[11:49:41] ✅ DONE | CX | DISPENSA        | 2025
[11:49:42] ❌ FAIL | CX | OUTRASMODALIDADES | 2025
