arquivo_origem;data_extracao;numero_ata;numero_controle_pncp_ata;numero_controle_pncp_compra;id_compra;numero_compra;ano_compra;modalidade_codigo;modalidade_nome;uasg_codigo;uasg_nome;data_assinatura;data_vigencia_inicial;data_vigencia_final;valor_total;quantidade_itens;status_ata;ata_excluida;objeto_ata;link_ata_pncp;link_compra_pncp
atas_manuais.json;2026-04-01 12:16:29;00084/2025;10673078000120-1-000039/2025-000007;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00085/2025;10673078000120-1-000039/2025-000008;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00086/2025;10673078000120-1-000039/2025-000009;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00087/2025;10673078000120-1-000039/2025-000010;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00088/2025;10673078000120-1-000039/2025-000011;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00089/2025;10673078000120-1-000039/2025-000012;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00090/2025;10673078000120-1-000039/2025-000013;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00091/2025;10673078000120-1-000039/2025-000014;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00092/2025;10673078000120-1-000039/2025-000015;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00093/2025;10673078000120-1-000039/2025-000016;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00094/2025;10673078000120-1-000039/2025-000017;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00095/2025;10673078000120-1-000039/2025-000018;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
atas_manuais.json;2026-04-01 12:16:29;00096/2025;10673078000120-1-000039/2025-000019;10673078000120-1-000039/2025;15813205901702025;90170;2025;05;Pregão;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;07/08/2025;02/09/2025;02/09/2026;;;Ata de Registro de Preços;Não;Dado não disponível na API do governo;;
