14:27:37 | INFO     | ============================================================
14:27:37 | INFO     | 🏢 EXTRAINDO UNIDADES PARTICIPANTES DAS ATAS...
14:27:37 | INFO     | UASG        : RT (158132)
14:27:37 | INFO     | A extrair   : 1308
14:27:37 | INFO     | 🚀 INICIANDO EXTRAÇÃO DE UNIDADES | WORKERS: 3 | TOTAL: 1308
14:28:01 | INFO     | [14:28:01] ✅ DONE | 00020/2023 | item 00001 | 49/1308 (3.7%) | Falhas: 0
14:28:02 | INFO     | [14:28:02] ✅ DONE | 00020/2023 | item 00003 | 50/1308 (3.8%) | Falhas: 0
14:28:02 | INFO     | [14:28:02] ✅ DONE | 00020/2023 | item 00005 | 51/1308 (3.9%) | Falhas: 0
14:28:02 | INFO     | [14:28:02] ✅ DONE | 00020/2023 | item 00004 | 52/1308 (4.0%) | Falhas: 0
14:28:03 | INFO     | [14:28:03] ✅ DONE | 00020/2023 | item 00006 | 53/1308 (4.1%) | Falhas: 0
14:28:04 | INFO     | [14:28:04] ✅ DONE | 00020/2023 | item 00009 | 54/1308 (4.1%) | Falhas: 0
14:28:04 | INFO     | [14:28:04] ✅ DONE | 00020/2023 | item 00007 | 55/1308 (4.2%) | Falhas: 0
14:28:04 | INFO     | [14:28:04] ✅ DONE | 00020/2023 | item 00008 | 56/1308 (4.3%) | Falhas: 0
14:28:05 | INFO     | [14:28:05] ✅ DONE | 00020/2023 | item 00011 | 57/1308 (4.4%) | Falhas: 0
14:28:05 | INFO     | [14:28:05] ✅ DONE | 00020/2023 | item 00012 | 58/1308 (4.4%) | Falhas: 0
14:28:05 | INFO     | [14:28:05] ✅ DONE | 00020/2023 | item 00010 | 59/1308 (4.5%) | Falhas: 0
14:28:06 | INFO     | [14:28:06] ✅ DONE | 00020/2023 | item 00013 | 60/1308 (4.6%) | Falhas: 0
14:28:07 | INFO     | [14:28:07] ✅ DONE | 00020/2023 | item 00014 | 61/1308 (4.7%) | Falhas: 0
14:28:07 | INFO     | [14:28:07] ✅ DONE | 00020/2023 | item 00015 | 62/1308 (4.7%) | Falhas: 0
14:28:07 | INFO     | [14:28:07] ✅ DONE | 00020/2023 | item 00016 | 63/1308 (4.8%) | Falhas: 0
14:28:07 | INFO     | [14:28:07] ✅ DONE | 00020/2023 | item 00017 | 64/1308 (4.9%) | Falhas: 0
14:28:07 | INFO     | [14:28:07] ✅ DONE | 00020/2023 | item 00018 | 65/1308 (5.0%) | Falhas: 0
14:28:08 | INFO     | [14:28:08] ✅ DONE | 00020/2023 | item 00019 | 66/1308 (5.0%) | Falhas: 0
14:28:08 | INFO     | [14:28:08] ✅ DONE | 00020/2023 | item 00020 | 67/1308 (5.1%) | Falhas: 0
14:28:09 | INFO     | [14:28:09] ✅ DONE | 00020/2023 | item 00021 | 68/1308 (5.2%) | Falhas: 0
14:28:09 | INFO     | [14:28:09] ✅ DONE | 00020/2023 | item 00022 | 69/1308 (5.3%) | Falhas: 0
14:28:09 | INFO     | [14:28:09] ✅ DONE | 00020/2023 | item 00023 | 70/1308 (5.4%) | Falhas: 0
14:28:09 | INFO     | [14:28:09] ✅ DONE | 00020/2023 | item 00024 | 71/1308 (5.4%) | Falhas: 0
14:28:10 | INFO     | [14:28:10] ✅ DONE | 00020/2023 | item 00026 | 72/1308 (5.5%) | Falhas: 0
14:28:10 | INFO     | [14:28:10] ✅ DONE | 00020/2023 | item 00027 | 73/1308 (5.6%) | Falhas: 0
14:28:10 | INFO     | [14:28:10] ✅ DONE | 00020/2023 | item 00028 | 74/1308 (5.7%) | Falhas: 0
14:28:10 | INFO     | [14:28:10] ✅ DONE | 00020/2023 | item 00025 | 75/1308 (5.7%) | Falhas: 0
14:28:11 | INFO     | [14:28:11] ✅ DONE | 00020/2023 | item 00029 | 76/1308 (5.8%) | Falhas: 0
14:28:11 | INFO     | [14:28:11] ✅ DONE | 00020/2023 | item 00031 | 77/1308 (5.9%) | Falhas: 0
14:28:12 | INFO     | [14:28:12] ✅ DONE | 00020/2023 | item 00030 | 78/1308 (6.0%) | Falhas: 0
14:28:12 | INFO     | [14:28:12] ✅ DONE | 00020/2023 | item 00032 | 79/1308 (6.0%) | Falhas: 0
14:28:13 | INFO     | [14:28:13] ✅ DONE | 00020/2023 | item 00033 | 80/1308 (6.1%) | Falhas: 0
14:28:13 | INFO     | [14:28:13] ✅ DONE | 00020/2023 | item 00034 | 81/1308 (6.2%) | Falhas: 0
14:28:13 | INFO     | [14:28:13] ✅ DONE | 00020/2023 | item 00035 | 82/1308 (6.3%) | Falhas: 0
14:28:14 | INFO     | [14:28:14] ✅ DONE | 00020/2023 | item 00036 | 83/1308 (6.3%) | Falhas: 0
14:28:14 | INFO     | [14:28:14] ✅ DONE | 00020/2023 | item 00037 | 84/1308 (6.4%) | Falhas: 0
14:28:15 | INFO     | [14:28:15] ✅ DONE | 00020/2023 | item 00038 | 85/1308 (6.5%) | Falhas: 0
14:28:15 | INFO     | [14:28:15] ✅ DONE | 00020/2023 | item 00039 | 86/1308 (6.6%) | Falhas: 0
14:28:16 | INFO     | [14:28:16] ✅ DONE | 00022/2023 | item 00007 | 87/1308 (6.7%) | Falhas: 0
14:28:16 | INFO     | [14:28:16] ✅ DONE | 00022/2023 | item 00008 | 88/1308 (6.7%) | Falhas: 0
14:28:17 | INFO     | [14:28:17] ✅ DONE | 00022/2023 | item 00009 | 89/1308 (6.8%) | Falhas: 0
14:28:17 | INFO     | [14:28:17] ✅ DONE | 00022/2023 | item 00010 | 90/1308 (6.9%) | Falhas: 0
14:28:18 | INFO     | [14:28:18] ✅ DONE | 00021/2023 | item 00001 | 91/1308 (7.0%) | Falhas: 0
14:28:18 | INFO     | [14:28:18] ✅ DONE | 00022/2023 | item 00011 | 92/1308 (7.0%) | Falhas: 0
14:28:18 | INFO     | [14:28:18] ✅ DONE | 00021/2023 | item 00002 | 93/1308 (7.1%) | Falhas: 0
14:28:20 | INFO     | [14:28:20] ✅ DONE | 00024/2023 | item 00015 | 94/1308 (7.2%) | Falhas: 0
14:28:20 | INFO     | [14:28:20] ✅ DONE | 00025/2023 | item 00003 | 95/1308 (7.3%) | Falhas: 0
14:28:20 | INFO     | [14:28:20] ✅ DONE | 00023/2023 | item 00006 | 96/1308 (7.3%) | Falhas: 0
14:28:37 | INFO     | [14:28:37] ✅ DONE | 00022/2023 | item 00012 | 97/1308 (7.4%) | Falhas: 0
14:28:37 | INFO     | [14:28:37] ✅ DONE | 00026/2023 | item 00017 | 98/1308 (7.5%) | Falhas: 0
14:28:37 | INFO     | [14:28:37] ✅ DONE | 00026/2023 | item 00018 | 99/1308 (7.6%) | Falhas: 0
14:28:38 | INFO     | [14:28:38] ✅ DONE | 00028/2023 | item 00004 | 100/1308 (7.6%) | Falhas: 0
14:28:38 | INFO     | [14:28:38] ✅ DONE | 00025/2023 | item 00016 | 101/1308 (7.7%) | Falhas: 0
14:28:39 | INFO     | [14:28:39] ✅ DONE | 00027/2023 | item 00005 | 102/1308 (7.8%) | Falhas: 0
14:28:40 | INFO     | [14:28:40] ✅ DONE | 00001/2024 | item 00001 | 103/1308 (7.9%) | Falhas: 0
14:28:55 | INFO     | [14:28:55] ✅ DONE | 00025/2023 | item 00019 | 104/1308 (8.0%) | Falhas: 0
14:28:56 | INFO     | [14:28:56] ✅ DONE | 00001/2024 | item 00004 | 105/1308 (8.0%) | Falhas: 0
14:28:57 | INFO     | [14:28:57] ✅ DONE | 00001/2024 | item 00002 | 106/1308 (8.1%) | Falhas: 0
